Epoch: [0][0/200], lr: 0.00038	Time 3.444 (3.444)	Data 0.844 (0.844)	Loss 0.6938 (0.6938)	Prec@1 37.500 (37.500)	
Epoch: [0][1/200], lr: 0.00038	Time 0.067 (1.755)	Data 0.000 (0.422)	Loss 0.6926 (0.6932)	Prec@1 62.500 (50.000)	
Epoch: [0][2/200], lr: 0.00038	Time 0.074 (1.195)	Data 0.000 (0.282)	Loss 0.6930 (0.6932)	Prec@1 50.000 (50.000)	
Epoch: [0][3/200], lr: 0.00038	Time 0.067 (0.913)	Data 0.000 (0.211)	Loss 0.6920 (0.6929)	Prec@1 87.500 (59.375)	
Epoch: [0][4/200], lr: 0.00038	Time 0.079 (0.746)	Data 0.000 (0.169)	Loss 0.6930 (0.6929)	Prec@1 50.000 (57.500)	
Epoch: [0][5/200], lr: 0.00038	Time 0.080 (0.635)	Data 0.000 (0.141)	Loss 0.6897 (0.6924)	Prec@1 62.500 (58.333)	
Epoch: [0][6/200], lr: 0.00038	Time 0.075 (0.555)	Data 0.000 (0.121)	Loss 0.6986 (0.6933)	Prec@1 37.500 (55.357)	
Epoch: [0][7/200], lr: 0.00038	Time 0.070 (0.495)	Data 0.000 (0.106)	Loss 0.6876 (0.6925)	Prec@1 62.500 (56.250)	
Epoch: [0][8/200], lr: 0.00038	Time 0.077 (0.448)	Data 0.000 (0.094)	Loss 0.6998 (0.6934)	Prec@1 37.500 (54.167)	
Epoch: [0][9/200], lr: 0.00038	Time 0.077 (0.411)	Data 0.000 (0.085)	Loss 0.6849 (0.6925)	Prec@1 62.500 (55.000)	
Epoch: [0][10/200], lr: 0.00038	Time 0.082 (0.381)	Data 0.000 (0.077)	Loss 0.6931 (0.6926)	Prec@1 50.000 (54.545)	
Epoch: [0][11/200], lr: 0.00038	Time 0.071 (0.355)	Data 0.000 (0.071)	Loss 0.7200 (0.6948)	Prec@1 25.000 (52.083)	
Epoch: [0][12/200], lr: 0.00038	Time 0.072 (0.333)	Data 0.000 (0.065)	Loss 0.7157 (0.6964)	Prec@1 25.000 (50.000)	
Epoch: [0][13/200], lr: 0.00038	Time 0.084 (0.316)	Data 0.000 (0.061)	Loss 0.6939 (0.6963)	Prec@1 50.000 (50.000)	
Epoch: [0][14/200], lr: 0.00038	Time 0.071 (0.299)	Data 0.000 (0.057)	Loss 0.6939 (0.6961)	Prec@1 50.000 (50.000)	
Epoch: [0][15/200], lr: 0.00038	Time 0.085 (0.286)	Data 0.000 (0.053)	Loss 0.7001 (0.6964)	Prec@1 37.500 (49.219)	
Epoch: [0][16/200], lr: 0.00038	Time 0.108 (0.276)	Data 0.000 (0.050)	Loss 0.7022 (0.6967)	Prec@1 25.000 (47.794)	
Epoch: [0][17/200], lr: 0.00038	Time 0.075 (0.264)	Data 0.000 (0.047)	Loss 0.6927 (0.6965)	Prec@1 50.000 (47.917)	
Epoch: [0][18/200], lr: 0.00038	Time 0.072 (0.254)	Data 0.000 (0.045)	Loss 0.6921 (0.6963)	Prec@1 62.500 (48.684)	
Epoch: [0][19/200], lr: 0.00038	Time 0.074 (0.245)	Data 0.000 (0.043)	Loss 0.6931 (0.6961)	Prec@1 62.500 (49.375)	
Epoch: [0][20/200], lr: 0.00038	Time 0.089 (0.238)	Data 0.000 (0.041)	Loss 0.6937 (0.6960)	Prec@1 12.500 (47.619)	
Epoch: [0][21/200], lr: 0.00038	Time 0.077 (0.230)	Data 0.000 (0.039)	Loss 0.6929 (0.6958)	Prec@1 62.500 (48.295)	
Epoch: [0][22/200], lr: 0.00038	Time 0.074 (0.224)	Data 0.000 (0.037)	Loss 0.6941 (0.6958)	Prec@1 25.000 (47.283)	
Epoch: [0][23/200], lr: 0.00038	Time 0.087 (0.218)	Data 0.000 (0.035)	Loss 0.6931 (0.6957)	Prec@1 37.500 (46.875)	
Epoch: [0][24/200], lr: 0.00038	Time 0.076 (0.212)	Data 0.000 (0.034)	Loss 0.6934 (0.6956)	Prec@1 37.500 (46.500)	
Epoch: [0][25/200], lr: 0.00038	Time 0.076 (0.207)	Data 0.000 (0.033)	Loss 0.6935 (0.6955)	Prec@1 37.500 (46.154)	
Epoch: [0][26/200], lr: 0.00038	Time 0.075 (0.202)	Data 0.000 (0.032)	Loss 0.6934 (0.6954)	Prec@1 37.500 (45.833)	
Epoch: [0][27/200], lr: 0.00038	Time 0.072 (0.198)	Data 0.000 (0.030)	Loss 0.6940 (0.6954)	Prec@1 37.500 (45.536)	
Epoch: [0][28/200], lr: 0.00038	Time 0.142 (0.196)	Data 0.000 (0.029)	Loss 0.6922 (0.6952)	Prec@1 75.000 (46.552)	
Epoch: [0][29/200], lr: 0.00038	Time 0.079 (0.192)	Data 0.000 (0.028)	Loss 0.6932 (0.6952)	Prec@1 50.000 (46.667)	
Epoch: [0][30/200], lr: 0.00038	Time 0.072 (0.188)	Data 0.000 (0.028)	Loss 0.6932 (0.6951)	Prec@1 50.000 (46.774)	
Epoch: [0][31/200], lr: 0.00038	Time 0.083 (0.185)	Data 0.000 (0.027)	Loss 0.6946 (0.6951)	Prec@1 37.500 (46.484)	
Epoch: [0][32/200], lr: 0.00038	Time 0.071 (0.181)	Data 0.000 (0.026)	Loss 0.6903 (0.6950)	Prec@1 75.000 (47.348)	
Epoch: [0][33/200], lr: 0.00038	Time 0.085 (0.178)	Data 0.000 (0.025)	Loss 0.6915 (0.6949)	Prec@1 62.500 (47.794)	
Epoch: [0][34/200], lr: 0.00038	Time 0.067 (0.175)	Data 0.000 (0.024)	Loss 0.6912 (0.6947)	Prec@1 62.500 (48.214)	
Epoch: [0][35/200], lr: 0.00038	Time 0.073 (0.172)	Data 0.000 (0.024)	Loss 0.6931 (0.6947)	Prec@1 50.000 (48.264)	
Epoch: [0][36/200], lr: 0.00038	Time 0.085 (0.170)	Data 0.005 (0.023)	Loss 0.6933 (0.6947)	Prec@1 50.000 (48.311)	
Epoch: [0][37/200], lr: 0.00038	Time 0.065 (0.167)	Data 0.000 (0.023)	Loss 0.6966 (0.6947)	Prec@1 37.500 (48.026)	
Epoch: [0][38/200], lr: 0.00038	Time 0.075 (0.165)	Data 0.000 (0.022)	Loss 0.7005 (0.6949)	Prec@1 25.000 (47.436)	
Epoch: [0][39/200], lr: 0.00038	Time 0.076 (0.163)	Data 0.000 (0.022)	Loss 0.6934 (0.6948)	Prec@1 50.000 (47.500)	
Epoch: [0][40/200], lr: 0.00038	Time 0.075 (0.160)	Data 0.000 (0.021)	Loss 0.6965 (0.6949)	Prec@1 37.500 (47.256)	
Epoch: [0][41/200], lr: 0.00038	Time 0.072 (0.158)	Data 0.000 (0.021)	Loss 0.7027 (0.6951)	Prec@1 12.500 (46.429)	
Epoch: [0][42/200], lr: 0.00038	Time 0.084 (0.157)	Data 0.000 (0.020)	Loss 0.6905 (0.6950)	Prec@1 62.500 (46.802)	
Epoch: [0][43/200], lr: 0.00038	Time 0.075 (0.155)	Data 0.000 (0.020)	Loss 0.6996 (0.6951)	Prec@1 12.500 (46.023)	
Epoch: [0][44/200], lr: 0.00038	Time 0.067 (0.153)	Data 0.000 (0.019)	Loss 0.6945 (0.6950)	Prec@1 37.500 (45.833)	
Epoch: [0][45/200], lr: 0.00038	Time 0.079 (0.151)	Data 0.000 (0.019)	Loss 0.6944 (0.6950)	Prec@1 25.000 (45.380)	
Epoch: [0][46/200], lr: 0.00038	Time 0.070 (0.149)	Data 0.000 (0.018)	Loss 0.6931 (0.6950)	Prec@1 50.000 (45.479)	
Epoch: [0][47/200], lr: 0.00038	Time 0.073 (0.148)	Data 0.000 (0.018)	Loss 0.6907 (0.6949)	Prec@1 75.000 (46.094)	
Epoch: [0][48/200], lr: 0.00038	Time 0.074 (0.146)	Data 0.000 (0.018)	Loss 0.6932 (0.6949)	Prec@1 50.000 (46.173)	
Epoch: [0][49/200], lr: 0.00038	Time 0.079 (0.145)	Data 0.000 (0.017)	Loss 0.6964 (0.6949)	Prec@1 37.500 (46.000)	
Epoch: [0][50/200], lr: 0.00038	Time 0.078 (0.144)	Data 0.000 (0.017)	Loss 0.6971 (0.6949)	Prec@1 37.500 (45.833)	
Epoch: [0][51/200], lr: 0.00038	Time 0.076 (0.142)	Data 0.000 (0.017)	Loss 0.6933 (0.6949)	Prec@1 50.000 (45.913)	
Epoch: [0][52/200], lr: 0.00038	Time 0.070 (0.141)	Data 0.000 (0.016)	Loss 0.7027 (0.6951)	Prec@1 25.000 (45.519)	
Epoch: [0][53/200], lr: 0.00038	Time 0.079 (0.140)	Data 0.000 (0.016)	Loss 0.6981 (0.6951)	Prec@1 37.500 (45.370)	
Epoch: [0][54/200], lr: 0.00038	Time 0.093 (0.139)	Data 0.000 (0.016)	Loss 0.7030 (0.6953)	Prec@1 25.000 (45.000)	
Epoch: [0][55/200], lr: 0.00038	Time 0.067 (0.138)	Data 0.000 (0.015)	Loss 0.6888 (0.6951)	Prec@1 62.500 (45.312)	
Epoch: [0][56/200], lr: 0.00038	Time 0.073 (0.137)	Data 0.000 (0.015)	Loss 0.6800 (0.6949)	Prec@1 87.500 (46.053)	
Epoch: [0][57/200], lr: 0.00038	Time 0.078 (0.136)	Data 0.000 (0.015)	Loss 0.6887 (0.6948)	Prec@1 62.500 (46.336)	
Epoch: [0][58/200], lr: 0.00038	Time 0.077 (0.135)	Data 0.000 (0.015)	Loss 0.6983 (0.6948)	Prec@1 37.500 (46.186)	
Epoch: [0][59/200], lr: 0.00038	Time 0.123 (0.134)	Data 0.000 (0.014)	Loss 0.6933 (0.6948)	Prec@1 50.000 (46.250)	
Epoch: [0][60/200], lr: 0.00038	Time 0.071 (0.133)	Data 0.000 (0.014)	Loss 0.6933 (0.6948)	Prec@1 50.000 (46.311)	
Epoch: [0][61/200], lr: 0.00038	Time 0.078 (0.132)	Data 0.000 (0.014)	Loss 0.6879 (0.6947)	Prec@1 62.500 (46.573)	
Epoch: [0][62/200], lr: 0.00038	Time 0.076 (0.132)	Data 0.000 (0.014)	Loss 0.6878 (0.6946)	Prec@1 62.500 (46.825)	
Epoch: [0][63/200], lr: 0.00038	Time 0.081 (0.131)	Data 0.001 (0.014)	Loss 0.6994 (0.6946)	Prec@1 37.500 (46.680)	
Epoch: [0][64/200], lr: 0.00038	Time 0.069 (0.130)	Data 0.000 (0.013)	Loss 0.6935 (0.6946)	Prec@1 50.000 (46.731)	
Epoch: [0][65/200], lr: 0.00038	Time 0.082 (0.129)	Data 0.000 (0.013)	Loss 0.7058 (0.6948)	Prec@1 25.000 (46.402)	
Epoch: [0][66/200], lr: 0.00038	Time 0.074 (0.128)	Data 0.000 (0.013)	Loss 0.6995 (0.6949)	Prec@1 37.500 (46.269)	
Epoch: [0][67/200], lr: 0.00038	Time 0.078 (0.128)	Data 0.000 (0.013)	Loss 0.6991 (0.6949)	Prec@1 37.500 (46.140)	
Epoch: [0][68/200], lr: 0.00038	Time 0.082 (0.127)	Data 0.000 (0.013)	Loss 0.6987 (0.6950)	Prec@1 37.500 (46.014)	
Epoch: [0][69/200], lr: 0.00038	Time 0.083 (0.126)	Data 0.000 (0.012)	Loss 0.6884 (0.6949)	Prec@1 62.500 (46.250)	
Epoch: [0][70/200], lr: 0.00038	Time 0.071 (0.125)	Data 0.000 (0.012)	Loss 0.7025 (0.6950)	Prec@1 25.000 (45.951)	
Epoch: [0][71/200], lr: 0.00038	Time 0.068 (0.125)	Data 0.000 (0.012)	Loss 0.7014 (0.6951)	Prec@1 25.000 (45.660)	
Epoch: [0][72/200], lr: 0.00038	Time 0.082 (0.124)	Data 0.000 (0.012)	Loss 0.6965 (0.6951)	Prec@1 37.500 (45.548)	
Epoch: [0][73/200], lr: 0.00038	Time 0.077 (0.123)	Data 0.000 (0.012)	Loss 0.6881 (0.6950)	Prec@1 75.000 (45.946)	
Epoch: [0][74/200], lr: 0.00038	Time 0.082 (0.123)	Data 0.000 (0.012)	Loss 0.6932 (0.6950)	Prec@1 50.000 (46.000)	
Epoch: [0][75/200], lr: 0.00038	Time 0.068 (0.122)	Data 0.000 (0.011)	Loss 0.6915 (0.6949)	Prec@1 62.500 (46.217)	
Epoch: [0][76/200], lr: 0.00038	Time 0.074 (0.122)	Data 0.000 (0.011)	Loss 0.6918 (0.6949)	Prec@1 62.500 (46.429)	
Epoch: [0][77/200], lr: 0.00038	Time 0.071 (0.121)	Data 0.000 (0.011)	Loss 0.6919 (0.6949)	Prec@1 62.500 (46.635)	
Epoch: [0][78/200], lr: 0.00038	Time 0.075 (0.120)	Data 0.000 (0.011)	Loss 0.6932 (0.6948)	Prec@1 50.000 (46.677)	
Epoch: [0][79/200], lr: 0.00038	Time 0.077 (0.120)	Data 0.000 (0.011)	Loss 0.6945 (0.6948)	Prec@1 37.500 (46.562)	
Epoch: [0][80/200], lr: 0.00038	Time 0.079 (0.119)	Data 0.000 (0.011)	Loss 0.6955 (0.6948)	Prec@1 25.000 (46.296)	
Epoch: [0][81/200], lr: 0.00038	Time 0.074 (0.119)	Data 0.000 (0.011)	Loss 0.6957 (0.6948)	Prec@1 12.500 (45.884)	
Epoch: [0][82/200], lr: 0.00038	Time 0.077 (0.118)	Data 0.000 (0.011)	Loss 0.6933 (0.6948)	Prec@1 37.500 (45.783)	
Epoch: [0][83/200], lr: 0.00038	Time 0.082 (0.118)	Data 0.000 (0.010)	Loss 0.6937 (0.6948)	Prec@1 37.500 (45.685)	
Epoch: [0][84/200], lr: 0.00038	Time 0.072 (0.117)	Data 0.000 (0.010)	Loss 0.6942 (0.6948)	Prec@1 37.500 (45.588)	
Epoch: [0][85/200], lr: 0.00038	Time 0.085 (0.117)	Data 0.000 (0.010)	Loss 0.6889 (0.6947)	Prec@1 87.500 (46.076)	
Epoch: [0][86/200], lr: 0.00038	Time 0.076 (0.116)	Data 0.000 (0.010)	Loss 0.6911 (0.6947)	Prec@1 62.500 (46.264)	
Epoch: [0][87/200], lr: 0.00038	Time 0.072 (0.116)	Data 0.000 (0.010)	Loss 0.6989 (0.6947)	Prec@1 25.000 (46.023)	
Epoch: [0][88/200], lr: 0.00038	Time 0.081 (0.115)	Data 0.000 (0.010)	Loss 0.6964 (0.6948)	Prec@1 37.500 (45.927)	
Epoch: [0][89/200], lr: 0.00038	Time 0.070 (0.115)	Data 0.000 (0.010)	Loss 0.6967 (0.6948)	Prec@1 37.500 (45.833)	
Epoch: [0][90/200], lr: 0.00038	Time 0.121 (0.115)	Data 0.000 (0.010)	Loss 0.6968 (0.6948)	Prec@1 37.500 (45.742)	
Epoch: [0][91/200], lr: 0.00038	Time 0.069 (0.115)	Data 0.000 (0.010)	Loss 0.6968 (0.6948)	Prec@1 37.500 (45.652)	
Epoch: [0][92/200], lr: 0.00038	Time 0.072 (0.114)	Data 0.000 (0.009)	Loss 0.6932 (0.6948)	Prec@1 50.000 (45.699)	
Epoch: [0][93/200], lr: 0.00038	Time 0.077 (0.114)	Data 0.000 (0.009)	Loss 0.6900 (0.6948)	Prec@1 62.500 (45.878)	
Epoch: [0][94/200], lr: 0.00038	Time 0.068 (0.113)	Data 0.000 (0.009)	Loss 0.6901 (0.6947)	Prec@1 62.500 (46.053)	
Epoch: [0][95/200], lr: 0.00038	Time 0.073 (0.113)	Data 0.000 (0.009)	Loss 0.6965 (0.6947)	Prec@1 37.500 (45.964)	
Epoch: [0][96/200], lr: 0.00038	Time 0.079 (0.112)	Data 0.000 (0.009)	Loss 0.6997 (0.6948)	Prec@1 25.000 (45.747)	
Epoch: [0][97/200], lr: 0.00038	Time 0.078 (0.112)	Data 0.000 (0.009)	Loss 0.6961 (0.6948)	Prec@1 37.500 (45.663)	
Epoch: [0][98/200], lr: 0.00038	Time 0.073 (0.112)	Data 0.000 (0.009)	Loss 0.6906 (0.6948)	Prec@1 62.500 (45.833)	
Epoch: [0][99/200], lr: 0.00038	Time 0.084 (0.111)	Data 0.000 (0.009)	Loss 0.6955 (0.6948)	Prec@1 37.500 (45.750)	
Epoch: [0][100/200], lr: 0.00038	Time 0.073 (0.111)	Data 0.000 (0.009)	Loss 0.6932 (0.6947)	Prec@1 50.000 (45.792)	
Epoch: [0][101/200], lr: 0.00038	Time 0.073 (0.111)	Data 0.000 (0.009)	Loss 0.6949 (0.6947)	Prec@1 37.500 (45.711)	
Epoch: [0][102/200], lr: 0.00038	Time 0.078 (0.110)	Data 0.000 (0.009)	Loss 0.6892 (0.6947)	Prec@1 87.500 (46.117)	
Epoch: [0][103/200], lr: 0.00038	Time 0.078 (0.110)	Data 0.000 (0.008)	Loss 0.6958 (0.6947)	Prec@1 25.000 (45.913)	
Epoch: [0][104/200], lr: 0.00038	Time 0.079 (0.110)	Data 0.000 (0.008)	Loss 0.6953 (0.6947)	Prec@1 25.000 (45.714)	
Epoch: [0][105/200], lr: 0.00038	Time 0.070 (0.109)	Data 0.001 (0.008)	Loss 0.6932 (0.6947)	Prec@1 50.000 (45.755)	
Epoch: [0][106/200], lr: 0.00038	Time 0.086 (0.109)	Data 0.000 (0.008)	Loss 0.6934 (0.6947)	Prec@1 37.500 (45.678)	
Epoch: [0][107/200], lr: 0.00038	Time 0.085 (0.109)	Data 0.000 (0.008)	Loss 0.6924 (0.6947)	Prec@1 87.500 (46.065)	
Epoch: [0][108/200], lr: 0.00038	Time 0.069 (0.109)	Data 0.000 (0.008)	Loss 0.6942 (0.6947)	Prec@1 37.500 (45.986)	
Epoch: [0][109/200], lr: 0.00038	Time 0.071 (0.108)	Data 0.000 (0.008)	Loss 0.6882 (0.6946)	Prec@1 87.500 (46.364)	
Epoch: [0][110/200], lr: 0.00038	Time 0.075 (0.108)	Data 0.000 (0.008)	Loss 0.6881 (0.6945)	Prec@1 75.000 (46.622)	
Epoch: [0][111/200], lr: 0.00038	Time 0.072 (0.108)	Data 0.000 (0.008)	Loss 0.6862 (0.6945)	Prec@1 75.000 (46.875)	
Epoch: [0][112/200], lr: 0.00038	Time 0.080 (0.107)	Data 0.000 (0.008)	Loss 0.7027 (0.6945)	Prec@1 25.000 (46.681)	
Epoch: [0][113/200], lr: 0.00038	Time 0.069 (0.107)	Data 0.000 (0.008)	Loss 0.6989 (0.6946)	Prec@1 37.500 (46.601)	
Epoch: [0][114/200], lr: 0.00038	Time 0.090 (0.107)	Data 0.000 (0.008)	Loss 0.6813 (0.6945)	Prec@1 75.000 (46.848)	
Epoch: [0][115/200], lr: 0.00038	Time 0.073 (0.107)	Data 0.000 (0.008)	Loss 0.6799 (0.6943)	Prec@1 75.000 (47.091)	
Epoch: [0][116/200], lr: 0.00038	Time 0.076 (0.106)	Data 0.000 (0.008)	Loss 0.6936 (0.6943)	Prec@1 50.000 (47.115)	
Epoch: [0][117/200], lr: 0.00038	Time 0.073 (0.106)	Data 0.000 (0.008)	Loss 0.6852 (0.6942)	Prec@1 62.500 (47.246)	
Epoch: [0][118/200], lr: 0.00038	Time 0.073 (0.106)	Data 0.000 (0.007)	Loss 0.6938 (0.6942)	Prec@1 50.000 (47.269)	
Epoch: [0][119/200], lr: 0.00038	Time 0.079 (0.106)	Data 0.000 (0.007)	Loss 0.7141 (0.6944)	Prec@1 25.000 (47.083)	
Epoch: [0][120/200], lr: 0.00038	Time 0.078 (0.105)	Data 0.000 (0.007)	Loss 0.7045 (0.6945)	Prec@1 37.500 (47.004)	
Epoch: [0][121/200], lr: 0.00038	Time 0.125 (0.105)	Data 0.000 (0.007)	Loss 0.6834 (0.6944)	Prec@1 62.500 (47.131)	
Epoch: [0][122/200], lr: 0.00038	Time 0.072 (0.105)	Data 0.000 (0.007)	Loss 0.7050 (0.6945)	Prec@1 37.500 (47.053)	
Epoch: [0][123/200], lr: 0.00038	Time 0.077 (0.105)	Data 0.000 (0.007)	Loss 0.7162 (0.6947)	Prec@1 25.000 (46.875)	
Epoch: [0][124/200], lr: 0.00038	Time 0.074 (0.105)	Data 0.000 (0.007)	Loss 0.7050 (0.6947)	Prec@1 37.500 (46.800)	
Epoch: [0][125/200], lr: 0.00038	Time 0.081 (0.105)	Data 0.000 (0.007)	Loss 0.6728 (0.6946)	Prec@1 75.000 (47.024)	
Epoch: [0][126/200], lr: 0.00038	Time 0.070 (0.104)	Data 0.000 (0.007)	Loss 0.6622 (0.6943)	Prec@1 87.500 (47.343)	
Epoch: [0][127/200], lr: 0.00038	Time 0.074 (0.104)	Data 0.000 (0.007)	Loss 0.7050 (0.6944)	Prec@1 37.500 (47.266)	
Epoch: [0][128/200], lr: 0.00038	Time 0.079 (0.104)	Data 0.000 (0.007)	Loss 0.7273 (0.6947)	Prec@1 12.500 (46.996)	
Epoch: [0][129/200], lr: 0.00038	Time 0.076 (0.104)	Data 0.000 (0.007)	Loss 0.6833 (0.6946)	Prec@1 62.500 (47.115)	
Epoch: [0][130/200], lr: 0.00038	Time 0.070 (0.103)	Data 0.000 (0.007)	Loss 0.6941 (0.6946)	Prec@1 50.000 (47.137)	
Epoch: [0][131/200], lr: 0.00038	Time 0.074 (0.103)	Data 0.000 (0.007)	Loss 0.6835 (0.6945)	Prec@1 62.500 (47.254)	
Epoch: [0][132/200], lr: 0.00038	Time 0.074 (0.103)	Data 0.000 (0.007)	Loss 0.7046 (0.6946)	Prec@1 37.500 (47.180)	
